	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_177	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Caliciales	f__Physciaceae	g__Phaeophyscia	NA
ASV_178	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Cephalothecaceae	NA	NA
ASV_179	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Neonectria	s__faginata
ASV_180	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Capronia	NA
ASV_181	NA	NA	NA	NA	NA	NA	NA
ASV_182	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_183	NA	NA	NA	NA	NA	NA	NA
ASV_184	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
ASV_185	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Rhinocladiella	NA
ASV_186	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Sphaerostilbella	s__lutea
ASV_187	NA	NA	NA	NA	NA	NA	NA
ASV_188	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Leptodontidium	s__trabinellum
ASV_189	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Thyridariaceae	NA	NA
ASV_190	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Capronia	NA
ASV_191	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	NA	NA
ASV_192	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Dissoconiaceae	g__Ramichloridium	s__apiculatum
ASV_193	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiales	f__Cystobasidiaceae	g__Occultifur	NA
ASV_194	NA	NA	NA	NA	NA	NA	NA
ASV_195	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Leptosphaeria	NA
ASV_196	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__pleuroticola
ASV_197	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Chrysozymaceae	g__Trigonosporomyces	s__hylophilus
ASV_198	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Myxozyma	s__melibiosi
