jrk_template,Phylum,Class,Order,Family,GENUS,COMMENT on genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont
jrk11009,Ascomycota,Dothideomycetes,Asterinales,Asterinaceae,Pycnocarpon,,epiphyte,litter_saprotroph,,foliar_endophyte,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)",closed,,,,
jrk11010,Ascomycota,Dothideomycetes,Asterinales,Neobueliellaceae,Neobueliella,,lichen_parasite,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,
jrk11028,Ascomycota,Dothideomycetes,Muyocopronales,Muyocopronaceae,Neocochlearomyces,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,,,Chromolaena,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Anthodidymella,,wood_saprotroph,,,,,"wood,leaf/fruit/seed",,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,Aquimassariosphaeria,,wood_saprotroph,,,,,wood,,freshwater,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11044,Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,Neolindgomyces,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,,,,,,
jrk11061,Ascomycota,Dothideomycetes,Pleosporales,Longiostiolaceae,Crassiperidium,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Morosphaeriaceae,Aquihelicascus,,wood_saprotroph,,,,,wood,,freshwater,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11049,Ascomycota,Dothideomycetes,Pleosporales,Parabambusicolaceae,Paratrimmatostroma,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Arezzomyces,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Dlhawksworthia,,wood_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11053,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Hydeomyces,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
jrk11057,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Piniphoma,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
jrk11059,Ascomycota,Dothideomycetes,Pleosporales,Pleomonodictydaceae,Pleohelicoon,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,Fagus,filamentous_mycelium,,,,,,
jrk11060,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Typhicola,,litter_saprotroph,,,,,leaf/fruit/seed,,,,Typha,filamentous_mycelium,,,,,,
jrk11063,Ascomycota,Dothideomycetes,Pleosporales,Shiraiaceae,Rubroshiraia,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,non-aquatic,,bamboo,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Sulcatisporaceae,Anthosulcatispora,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11067,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Liua,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
jrk11069,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Discotubeufia,,litter_saprotroph,,,,,leaf/fruit/seed,,,,Brownea,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Acantharia,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,,,,,,
,Ascomycota,Leotiomycetes,Leotiomycetes order incertae sedis,Leotiomycetes family incertae sedis,Clavidisculum,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11121,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Heterotruncatella,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,,,,filamentous_mycelium,,,,,,
jrk11128,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriales family incertae sedis,Neoleptosporella,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
jrk11133,Ascomycota,Sordariomycetes,Delonicicolales,Delonicicolaceae,Furfurella,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
jrk11134,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Capillaureum,,plant_pathogen,wood_saprotroph,,,wood_pathogen,wood,,,,,filamentous_mycelium,,,,,,
jrk11135,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Chrysomorbus,,plant_pathogen,wood_saprotroph,,,wood_pathogen,wood,,,,,filamentous_mycelium,,,,,,
,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Eriocamporesia,,plant_pathogen,wood_saprotroph,,,wood_pathogen,wood,,,,,filamentous_mycelium,,,,,,
jrk11140,Ascomycota,Sordariomycetes,Diaporthales,Neomelanconiellaceae,Neomelanconiella,,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed_pathogen,leaf/fruit/seed,,,,Combretum,filamentous_mycelium,,,,,,
jrk11177,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Neomyrmecridium,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,,,,,,
jrk11178,Ascomycota,Sordariomycetes,Myrmecridiales,Xenodactylariaceae,Xenodactylaria,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,,,,,,
jrk11185,Ascomycota,Sordariomycetes,Xenospadicoidales,Xenospadicoidaceae,Pseudodiplococcium,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,,,,,,
,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Adustochaete,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,corticioid,hydnoid,,,,
,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Metulochaete,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,corticioid,hydnoid,,,,
,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Proterochaete,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,corticioid,other,,,,
,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Psilochaete,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,tremelloid,smooth,,,,
,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales family incertae sedis,Pekloderma,synonym of Kurtia,wood_saprotroph,ericoid_mycorrhizal,,,,wood,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,,,,
jrk11219,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Geesterania,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,polyporoid,poroid,,,,
jrk11000,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Staurospora,,lichenized,,,,,,,non-aquatic,,,thallus_photosynthetic,apothecium_(hymenium_on_surface),smooth,,,trentepohlioid,
jrk11001,Ascomycota,Arthoniomycetes,Arthoniales,Chrysotrichaceae,Galbinothrix,,lichenized,,,,,,,non-aquatic,,,thallus_photosynthetic,apothecium_(hymenium_on_surface),smooth,,,chlorococcoid,
jrk11002,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Amylogalla,,lichen_parasite,fungal_decomposer,,,,"fungal_material,algal_material",,non-aquatic,,,,apothecium_(hymenium_on_surface),smooth,,,,
jrk11003,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Craspedodidymella,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11004,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Crousobrauniella,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,non-aquatic,,Shorea,,,,,,,
jrk11005,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Hyalodermella,,,,,,,,,,,,,,,,,,
jrk11006,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Saania,,lichen_parasite,fungal_decomposer,,,,"fungal_material,algal_material",,non-aquatic,,,,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11007,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Vizellopsidites,fossil,plant_pathogen,,,,unspecified_plant_pathogen,,,,,,,,,,,,
jrk11008,Ascomycota,Dothideomycetes,Asterinales,Asterinaceae,Asterostomella,,plant_pathogen,foliar_endophyte,,foliar_endophyte,leaf/fruit/seed_pathogen,,,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11011,Ascomycota,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Mycosphaerellopsis,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11012,Ascomycota,Dothideomycetes,Botryosphaeriales,Planistromellaceae,Planistroma,,litter_saprotroph,wood_saprotroph,,,,"wood,leaf/fruit/seed",,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11013,Ascomycota,Dothideomycetes,Capnodiales,Aeminiaceae,Aeminium,,sooty_mold,litter_saprotroph,,,,"leaf/fruit/seed,sugar-rich_substrates",mold,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11014,Ascomycota,Dothideomycetes,Capnodiales,Dissoconiaceae,Globoramichloridium,,,,,,,,,,,,filamentous_mycelium,,,,,,
jrk11015,Ascomycota,Dothideomycetes,Capnodiales,Extremaceae,Paradevriesia,,,,,,,,,,,,filamentous_mycelium,,,,,,
jrk11016,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ceratosperma,,,,,,,,,,,,filamentous_mycelium,,,,,,
jrk11017,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Plurivorosphaerella,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11018,Ascomycota,Dothideomycetes,Capnodiales,Phaeothecoidiellaceae,Nowamyces,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,non-aquatic,,Eucalyptus ,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Lawreya,,lichen_parasite,fungal_decomposer,,,,"fungal_material,algal_material",,non-aquatic,,,filamentous_mycelium,none,none,,,,
jrk11019,Ascomycota,Dothideomycetes,Capnodiales,Xenodevriesiaceae,Xenodevriesia,,plant_pathogen,,,,unspecified_plant_pathogen,,,non-aquatic,,Strelitzia,filamentous_mycelium,,,,,,
jrk11020,Ascomycota,Dothideomycetes,Dothideales,Neocelosporiaceae,Neocelosporium,,,,,,,,,non-aquatic,,Eucalyptus ,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Dothideomycetes order incertae sedis,Dothideomycetes family incertae sedis,Pseudoconlarium,,wood_saprotroph,,,,,wood,,,,,,,,,,,
jrk11021,Ascomycota,Dothideomycetes,Dothideomycetes order incertae sedis,Neoparodiaceae,Neoparodia,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,non-aquatic,,Trema,filamentous_mycelium,,,,,,
jrk11022,Ascomycota,Dothideomycetes,Dothideomycetes order incertae sedis,Paranectriellaceae,Araneomyces,,litter_saprotroph,,,no_endophytic_capacity,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11024,Ascomycota,Dothideomycetes,Dothideomycetes order incertae sedis,Trichothyriaceae,Lichenopeltella,,lichen_parasite,fungal_decomposer,,,,"fungal_material,algal_material",,,,,filamentous_mycelium,,,,,,
jrk11025,Ascomycota,Dothideomycetes,Dothideomycetes order incertae sedis,Trichothyriaceae,Pachythyrium,,mycoparasite,fungal_decomposer,,,,fungal_material,,,,Diatrypaceae,filamentous_mycelium,,,,,,
jrk11026,Ascomycota,Dothideomycetes,Dothideomycetes order incertae sedis,Trichothyriaceae,Trichothyrium,,unspecified_saprotroph,mycoparasite,,,,fungal_material,,,,,filamentous_mycelium,,,,,,
jrk11027,Ascomycota,Dothideomycetes,Eremithallales,Melaspileaceae,Eremithallus,,lichenized,,,,,,,non-aquatic,,,thallus_photosynthetic,,,,,trentepohlioid,
,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Neojahnula,,wood_saprotroph,,,,,wood,,freshwater,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Pseudojahnula,,wood_saprotroph,,,,,wood,,freshwater,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11029,Ascomycota,Dothideomycetes,Muyocopronales,Muyocopronaceae,Neomycoleptodiscus,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,Gyranthera,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Muyocopronales,Muyocopronaceae,Pseudopalawania,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Muyocopronales,Muyocopronaceae,Setoapiospora,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11030,Ascomycota,Dothideomycetes,Pleosporales,Aigialaceae,Posidoniomyces,,root_endophyte,,,root_endophyte_dark_septate,,,,marine,,Posidonia,filamentous_mycelium,,,,,,
jrk11031,Ascomycota,Dothideomycetes,Pleosporales,Amorosiaceae,Alfoldia,,root_endophyte,,,root_endophyte,,,,non-aquatic,,Juniperus,filamentous_mycelium,,,,,,
jrk11032,Ascomycota,Dothideomycetes,Pleosporales,Amorosiaceae,Amorocoelophoma,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11033,Ascomycota,Dothideomycetes,Pleosporales,Anteagloniaceae,Purplema,,,,,,,,,,,,filamentous_mycelium,,,,,,
jrk11034,Ascomycota,Dothideomycetes,Pleosporales,Astrosphaeriellaceae,Quercicola,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,Quercus,filamentous_mycelium,,,,,,
jrk11035,Ascomycota,Dothideomycetes,Pleosporales,Astrosphaeriellaceae,Xenoastrosphaeriella,,unspecified_saprotroph,,,,,,,non-aquatic,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Bambusicolaceae,Corylicola,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11036,Ascomycota,Dothideomycetes,Pleosporales,Bambusicolaceae,Leucaenicola,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11037,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynesporasca,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,Caryota,filamentous_mycelium,,,,,,
jrk11038,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Synfenestella,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11039,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Pseudoconiothyrium,,,,,,,,,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11040,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Sphaeronaema,,,,,,,,,,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Vandijckomycella,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Chromolaenicola,,wood_saprotroph,litter_saprotroph,,,,"wood,leaf/fruit/seed",,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11041,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Neptunomyces,,,,,,,,,aquatic,,algae,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudodidymocyrtis,,lichen_parasite,fungal_decomposer,,,,"fungal_material,algal_material",,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Latoruaceae,Triseptata,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Pseudomurilentithecium,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Ochraceocephala,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11042,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Pseudoleptosphaeria,,plant_pathogen,wood_saprotroph,,,wood_pathogen,wood,,non-aquatic,,Populus,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Sclerenchymomyces,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11043,Ascomycota,Dothideomycetes,Pleosporales,Ligninsphaeriaceae,Ligninsphaeriopsis,,,,,,,,,,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Longipedicellataceae,Submerspora,,wood_saprotroph,,,,,wood,,freshwater,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Kiskunsagia,,root_endophyte,,,root_endophyte,,roots,,non-aquatic,,,,,,,,,
jrk11045,Ascomycota,Dothideomycetes,Pleosporales,Massariaceae,Paramassaria,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Morosphaeriaceae,Neohelicascus,,wood_saprotroph,,,,,wood,,freshwater,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11046,Ascomycota,Dothideomycetes,Pleosporales,Neohendersoniaceae,Neomedicopsis,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Neomassarinaceae,Pseudohelminthosporium,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11047,Ascomycota,Dothideomycetes,Pleosporales,Occultibambusaceae,Brunneofusispora,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,,,,,,
jrk11048,Ascomycota,Dothideomycetes,Pleosporales,Parabambusicolaceae,Lonicericola,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Parabambusicolaceae,Paramonodictys,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11050,Ascomycota,Dothideomycetes,Pleosporales,Paralophiostomataceae,Paralophiostoma,,,,,,,,,,,,,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeoseptaceae,Pleopunctum,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11051,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Amarenomyces,,unspecified_saprotroph,,,,,,,non-aquatic,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Bhagirathimyces,,unspecified_saprotroph,,,,,,,partly_freshwater_(partly_non-aquatic),,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11052,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Brunneomurispora,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Hydeopsis,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11054,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Jeremyomyces,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Kwanghwana,,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed_pathogen,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Murichromolaenicola,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neoophiobolus,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11055,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neostagonosporella,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraleptospora,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraloratospora,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11056,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeoseptoriella,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Pseudoophiosphaerella,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Pseudostaurosphaeria,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Wingfieldomyces,,litter_saprotroph,plant_pathogen,,,leaf/fruit/seed_pathogen,leaf/fruit/seed,,,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11058,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Vittaliana,,wood_saprotroph,,,,,wood,,marine,,Avicennia,filamentous_mycelium,,,,,,
jrk11062,Ascomycota,Dothideomycetes,Pleosporales,Pseudoastrosphaeriellaceae,Pseudoastrosphaeriellopsis,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Pseudomassarinaceae,Pseudomassarina,,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed_pathogen,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Pyrenochaetopsidaceae,Xenopyrenochaetopsis,,litter_saprotroph,plant_pathogen,,,leaf/fruit/seed_pathogen,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Roussoellaceae,Pseudoroussoella,,wood_saprotroph,,,,,"wood,leaf/fruit/seed",,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Roussoellaceae,Setoarthopyrenia,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Roussoellaceae,Xenoroussoella,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11064,Ascomycota,Dothideomycetes,Pleosporales,Striatiguttulaceae,Longicorpus,,unspecified_saprotroph,,,,,,,,,Arecaceae,filamentous_mycelium,,,,,,
jrk11065,Ascomycota,Dothideomycetes,Pleosporales,Striatiguttulaceae,Striatiguttula,,unspecified_saprotroph,,,,,,,,,Arecaceae,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Sulcatisporaceae,Parasulcatispora,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11066,Ascomycota,Dothideomycetes,Pleosporales,Testudinaceae,Halotestudina,,wood_saprotroph,,,,,wood,,partly_aquatic,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Chromolaenomyces,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Pseudothyridariella,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Strigulales,Strigulaceae,Dichoporis,,lichenized,,,,,,,non-aquatic,,,thallus_photosynthetic,,,,,,
,Ascomycota,Dothideomycetes,Strigulales,Strigulaceae,Phyllocharis,,lichenized,,,,,,,non-aquatic,,,thallus_photosynthetic,,,,,,
,Ascomycota,Dothideomycetes,Strigulales,Strigulaceae,Phyllocraterina,,lichenized,,,,,,,non-aquatic,,,thallus_photosynthetic,,,,,,
